Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2006","tonnes","887"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2007","tonnes","861"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2008","tonnes","1745"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2009","tonnes","3116"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2010","tonnes","2951"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2011","tonnes","3493"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2012","tonnes","4285"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2013","tonnes","3881"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2014","tonnes","4257"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2015","tonnes","4878"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2016","tonnes","4831"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2017","tonnes","8303"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2018","tonnes","9806"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2019","tonnes","15638"
"Crops and livestock products","Colombia","Export Quantity","Coffee, roasted","2020","tonnes","11268"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1961","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1962","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1963","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1964","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1965","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1966","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1967","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1968","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1969","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1970","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1971","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1972","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1973","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1974","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1975","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1976","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1977","tonnes","10"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1978","tonnes","5"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1979","tonnes","12"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1980","tonnes","1"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1981","tonnes","1"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1982","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1983","tonnes","14"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1984","tonnes","8"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1985","tonnes","2"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1986","tonnes","0"
"Crops and livestock products","Indonesia","Export Quantity","Coffee, roasted","1987","tonnes","57"
