"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Trinidad and Tobago","Production","Coffee, green","2885","3900","3625","4181","4198","2920","3117","4586","3191","2302","3894","3300","2717","1940","4024","2671","2918","2500","2497","2240","2433","1794","1389","852","2141","1334","1842","582","1206","1944","914","707","874","1015","831","352","1102","367","343","553","406","247","586","109","350","720","60","60","129","51","73","51","51","51","31","707","707","720","800","631"
"Uganda","Production","Coffee, green","94100","119000","158200","172400","152100","153900","166400","133000","247200","201500","175500","183700","212600","199100","199000","137100","155900","121300","103000","135200","97500","161866","148224","145971","143995","159881","167067","151157","169042","128747","147366","110334","144551","198371","181465","287925","219624","205056","251881","143475","197410","209547","150871","170081","158100","133310","175346","211726","195871","166968","191371","186125","222894","220135","229149","243061","302063","284225","312601","290668"
"United Republic of Tanzania","Production","Coffee, green","33000","35000","40900","43600","56400","66900","49600","51100","51545","46140","49700","52126","54997","59454","62291","43278","50216","51359","47875","47802","66441","53120","52129","56943","45808","54756","57653","45510","48800","53420","46210","56030","59574","34151","41971","52490","43568","38002","46670","47800","58100","66170","52320","72440","95390","34300","48869","43100","62350","40000","60575","66204","71200","48982","42674","60921","47693","45254","68147","60651"
"United States of America","Production","Coffee, green","3100","4900","2400","3600","2722","2918","1974","2068","1498","1560","1063","1321","1103","559","675","770","823","610","794","522","802","360","1016","635","671","1088","653","725","1160","1016","1016","871","1056","1560","1960","2320","3260","3450","3630","3950","3630","3400","3760","2540","3719","3311","3400","3950","3950","3990","3447","3175","3175","3670","2390","1960","2200","2490","2320","1955"
"Vanuatu","Production","Coffee, green","240","200","200","200","250","250","300","240","180","120","120","120","120","120","60","60","60","60","80","60","61","21","38","55","65","57","53","15","25","15","42","30","28","31","33","40","38","50","45","30","15","20","16","16","14","16","16","15","15","24","40","34","42","41","32","38","37","36","37","36"
"Venezuela (Bolivarian Republic of)","Production","Coffee, green","57050","54228","60678","56141","54387","61000","61824","45886","60665","60586","58385","40406","65926","45878","64611","40350","57682","58977","53935","58173","59566","58037","58848","60861","64370","66232","70188","71040","72594","76412","68404","69340","66476","68404","65088","73026","63000","66840","79854","78440","91877","84470","64265","71503","64484","74332","70311","72000","63193","71687","72109","60917","62069","52683","49987","50948","56630","56525","57015","57100"
"Viet Nam","Production","Coffee, green","4100","4020","4500","5500","7500","6300","7000","6000","6500","7300","6500","7000","6600","6000","6800","9700","5600","5400","5100","8400","5300","5300","5700","4800","12300","25000","27500","42000","40900","92000","100000","119200","136100","180000","218000","320100","420500","409300","553200","802500","840600","699500","793700","913800","831000","985300","1251000","1055811","1057540","1105700","1276506","1260463","1326688","1406469","1452999","1460800","1542398","1616307","1686765","1763476"
"Yemen","Production","Coffee, green","6300","6300","5800","5700","6300","5323","4423","4423","5013","4813","4823","4313","4313","4313","3810","3810","4710","4716","4410","4390","4405","4305","3917","5152","4913","5012","5111","6474","6807","7411","5430","8218","8727","8480","8993","10600","10325","11283","11182","11363","11906","11499","11608","10260","11331","17292","18330","18788","18924","19029","19275","19828","19984","20059","19257","18945","18767","18642","20812","22383"
"Zambia","Production","Coffee, green","","","","","","0","0","0","3","7","10","7","12","13","25","37","50","80","20","30","40","66","76","200","377","600","540","540","1500","1380","1740","1792","1531","1582","1232","1580","2167","2628","3480","5400","5760","6480","6060","5000","4500","4744","5100","5863","6290","6422","6137","6303","6289","6401","6517","6609","6509","6545","6555","6536"
"Zimbabwe","Production","Coffee, green","","","","","","52","62","212","212","615","745","1255","1553","2581","3415","4639","4310","4977","4603","5261","5476","6073","8234","10720","11354","13486","11599","12627","14601","13569","12091","4995","4000","9420","7860","11500","9300","10000","10000","9100","7518","8050","10000","5800","3960","2700","1860","1440","1260","600","540","540","783","850","500","700","655","521","516","508"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
