"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Central African Republic","Production","Coffee, green","8200","5800","12600","7600","11400","9127","8207","8826","12163","10665","6065","8359","10001","13200","14300","13900","14800","15183","16073","16808","17000","17000","15400","18400","13300","20100","21346","24482","20808","14314","17625","9036","9124","14500","9000","18000","15000","12037","11260","12900","12300","13000","5520","4320","3300","1500","2400","3300","3544","5270","6218","6923","7975","10799","9050","10120","9299","9374","10118","10448"
"China","Production","Coffee, green","1612","1756","2042","2346","2577","3236","3566","3540","3748","3836","3934","5029","6017","6068","4066","4009","4052","4047","5036","5051","6052","6054","6000","9000","7000","7700","8600","10000","8000","6300","3500","3800","4000","3250","3196","3023","3573","6237","8743","11568","17202","19456","23144","21659","21919","25655","26000","33278","70405","49596","65384","92064","116826","127586","115140","113345","114074","115500","120000","114000"
"China, Taiwan Province of","Production","Coffee, green","112","56","42","46","77","36","66","40","48","36","34","29","17","68","66","9","52","47","36","51","52","54","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"China, mainland","Production","Coffee, green","1500","1700","2000","2300","2500","3200","3500","3500","3700","3800","3900","5000","6000","6000","4000","4000","4000","4000","5000","5000","6000","6000","6000","9000","7000","7700","8600","10000","8000","6300","3500","3800","4000","3250","3196","3023","3573","6237","8743","11568","17202","19456","23144","21659","21919","25655","26000","33278","70405","49596","65384","92064","116826","127586","115140","113345","114074","115500","120000","114000"
"Colombia","Production","Coffee, green","450000","482100","450000","468000","492000","492000","456000","480000","474000","507000","468000","432000","528000","470000","513200","483000","639420","683220","713340","724380","782200","773600","768600","807800","643100","713500","651600","708700","664000","845000","970740","1100000","818220","721860","821820","671401","642239","766980","546720","637140","656160","696840","694080","674400","667140","724740","757080","688680","468720","535380","468540","462000","653160","728400","827750","818243","851640","813420","885120","833400"
"Comoros","Production","Coffee, green","100","100","150","100","100","180","180","180","180","180","120","120","120","120","60","60","70","90","90","80","82","82","83","84","85","85","85","87","87","90","91","92","92","93","94","94","95","96","98","98","101","103","100","110","120","119","121","123","124","126","127","130","132","133","135","136","137","138","139","140"
"Congo","Production","Coffee, green","900","1300","1500","1500","2700","910","920","890","1111","1102","1286","1021","1035","1292","1050","2160","5244","4843","3120","2700","2580","2900","3360","2980","3480","1444","1028","1830","1843","1354","1401","1450","1501","1553","1606","1600","1338","850","1490","1550","1612","1687","2000","2800","3300","3000","3000","2400","2700","2827","2901","2935","2987","3005","3039","3062","3035","3045","3048","3043"
"Cook Islands","Production","Coffee, green","3","5","7","11","10","11","12","10","10","10","10","10","10","10","10","2","3","2","2","2","2","2","2","2","2","2","2","1","1","2","2","5","4","8","15","20","15","10","5","6","7","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Costa Rica","Production","Coffee, green","61769","54523","62295","47219","58384","68344","76014","69372","84549","73192","89350","78787","95721","84287","80248","81784","87183","98549","98575","106389","113102","115087","124008","136857","124000","128227","138000","144900","157000","151100","158000","168000","156927","147998","150061","154131","132015","152385","147868","161395","150289","140874","132259","126000","125669","101038","121058","111959","91403","91620","95038","117873","71381","96735","83846","93720","90419","66611","66301","76008"
"Cuba","Production","Coffee, green","37000","52206","34691","32028","23880","33407","34246","29246","31649","19742","25987","25391","21028","28795","20112","27151","16826","14807","22674","18973","21616","28684","18410","22051","23783","24509","26165","28801","28920","24900","22740","18720","17100","17040","17100","16680","19980","13500","22020","16500","15720","14700","15000","15240","10800","8400","13500","6240","7980","8430","10150","7560","8944","9203","7417","7540","6780","7680","7800","7500"
