Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2012","1000 US$","1207996"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2013","1000 US$","1069103"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2014","1000 US$","950248"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2015","1000 US$","913778"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2016","1000 US$","951789"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2017","1000 US$","1330791"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2018","1000 US$","1348504"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2019","1000 US$","1133379"
"Value of Agricultural Production","Indonesia","Gross Production Value (current thousand US$)","Coffee, green","2020","1000 US$","1082160"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1991","1000 US$","52879"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1992","1000 US$","45461"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1993","1000 US$","62206"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1994","1000 US$","87629"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1995","1000 US$","126942"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1996","1000 US$","216914"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1997","1000 US$","260848"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1998","1000 US$","218834"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","1999","1000 US$","278166"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2000","1000 US$","397876"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2001","1000 US$","185569"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2002","1000 US$","119601"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2003","1000 US$","94878"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2004","1000 US$","95059"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2005","1000 US$","306380"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2006","1000 US$","391366"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2007","1000 US$","1459165"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2008","1000 US$","1164859"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2009","1000 US$","1220333"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2010","1000 US$","1386691"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2011","1000 US$","2163676"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2012","1000 US$","2100832"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2013","1000 US$","2116904"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2014","1000 US$","2214317"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2015","1000 US$","2177332"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2016","1000 US$","2553520"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2017","1000 US$","2983911"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2018","1000 US$","2867067"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2019","1000 US$","2567580"
"Value of Agricultural Production","Viet Nam","Gross Production Value (current thousand US$)","Coffee, green","2020","1000 US$","2409063"
