,country,Year,population,rural_population,coffee_production_tonnes,rural_pop_percent,total_pop_percent
767,Colombia,1981,27496617.0,10099564.0,782200.0,36.73020575585716,63.26979424414284
2128,Indonesia,1981,150938232.0,116532398.0,314899.0,77.20535510181409,22.794644898185908
4538,Viet Nam,1981,55522803.0,44886383.0,5300.0,80.84315015580175,19.15684984419825
253,Brazil,1982,126498314.0,41559954.0,957931.0,32.85415645935012,67.14584354064988
768,Colombia,1982,28101819.0,10138209.0,773600.0,36.076700230686136,63.923299769313864
2129,Indonesia,1982,154468229.0,118033831.0,281251.0,76.41301500258672,23.586984997413282
4539,Viet Nam,1982,56814306.0,45902910.0,5300.0,80.7946329574104,19.2053670425896
254,Brazil,1983,129448819.0,41378242.0,1671588.0,31.96494361219317,68.03505638780683
769,Colombia,1983,28714190.0,10172919.0,768600.0,35.4281942133837,64.5718057866163
2130,Indonesia,1983,158009246.0,119457973.0,305648.0,75.60188787939663,24.398112120603372
4540,Viet Nam,1983,58148384.0,46951133.0,5700.0,80.74365918750209,19.25634081249791
255,Brazil,1984,132383568.0,41155107.0,1420281.0,31.08777593908029,68.91222406091971
770,Colombia,1984,29331238.0,10201508.0,807800.0,34.78035260564181,65.21964739435819
2131,Indonesia,1984,161523347.0,120772930.0,315489.0,74.77119081738691,25.22880918261309
4541,Viet Nam,1984,59512619.0,48021780.0,4800.0,80.69176051553033,19.308239484469667
256,Brazil,1985,135274080.0,40889488.0,1910646.0,30.22714181460336,69.77285818539664
771,Colombia,1985,29951201.0,10223444.0,643100.0,34.13366963147822,65.86633036852177
2132,Indonesia,1985,164982451.0,121962784.0,311398.0,73.92470123989126,26.075298760108737
4542,Viet Nam,1985,60896721.0,49107256.0,12300.0,80.640230202214,19.359769797786
257,Brazil,1986,138108912.0,40576589.0,1041406.0,29.38013804641369,70.61986195358631
772,Colombia,1986,30572478.0,10271635.0,713500.0,33.59765276468594,66.40234723531407
2133,Indonesia,1986,168374287.0,123012954.0,356822.0,73.0592278617934,26.940772138206597
4543,Viet Nam,1986,62293856.0,50201991.0,25000.0,80.58899259663745,19.411007403362547
258,Brazil,1987,140891602.0,40221866.0,2202708.0,28.548093306512335,71.45190669348767
773,Colombia,1987,31195413.0,10327324.0,651600.0,33.10526454642546,66.89473545357454
2134,Indonesia,1987,171702763.0,123928460.0,388669.0,72.1761594482903,27.823840551709694
4544,Viet Nam,1987,63701972.0,51304116.0,27500.0,80.53772024514406,19.462279754855942
259,Brazil,1988,143627503.0,39827425.0,1348014.0,27.729664700778095,72.2703352992219
774,Colombia,1988,31822525.0,10376677.0,708700.0,32.607962441698135,67.39203755830187
2135,Indonesia,1988,174975954.0,124713316.0,391095.0,71.27454552983892,28.725454470161083
4545,Viet Nam,1988,65120439.0,52412840.0,42000.0,80.48600532315207,19.51399467684793
260,Brazil,1989,146328304.0,39402989.0,1532335.0,26.927797236001588,73.0722027639984
775,Colombia,1989,32457499.0,10420817.0,664000.0,32.1060381146434,67.8939618853566
2136,Indonesia,1989,178209150.0,125385231.0,401048.0,70.35846980921013,29.641530190789865
4546,Viet Nam,1989,66550234.0,53478931.0,40900.0,80.35874223973427,19.64125776026573
261,Brazil,1990,149003223.0,38948117.0,1464856.0,26.1391104271617,73.8608895728383
776,Colombia,1990,33102574.999999996,10459380.0,845000.0,31.596877282205394,68.4031227177946
2137,Indonesia,1990,181413402.0,125945478.0,412767.0,69.42457206110936,30.57542793889064
4547,Viet Nam,1990,67988862.0,54392182.0,92000.0,80.00160673376178,19.998393266238224
262,Brazil,1991,151648011.0,38465232.0,1520382.0,25.364811411868764,74.63518858813123
777,Colombia,1991,33758337.0,10492669.0,970740.0,31.081711756121162,68.91828824387883
2138,Indonesia,1991,184591903.0,126252486.0,428305.0,68.39546261138008,31.604537388619917
4548,Viet Nam,1991,69436954.0,55298504.0,100000.0,79.63843575281254,20.36156424718746
263,Brazil,1992,154259380.0,37954781.0,1294373.0,24.60452064568132,75.39547935431868
778,Colombia,1992,34422569.0,10520182.0,1100000.0,30.561873519666705,69.4381264803333
2139,Indonesia,1992,187739786.0,126360913.0,436930.0,67.30641154560601,32.69358845439399
4549,Viet Nam,1992,70883481.0,56188636.0,119200.0,79.26901332625016,20.73098667374984
264,Brazil,1993,156849078.0,37427914.0,1278759.0,23.862374249978057,76.13762575002194
779,Colombia,1993,35091275.0,10542121.0,818220.0,30.042000468777495,69.9579995312225
2140,Indonesia,1993,190851175.0,126346046.0,438868.0,66.20134562965096,33.79865437034904
4550,Viet Nam,1993,72300308.0,57041624.0,136100.0,78.8954094082144,21.104590591785595
265,Brazil,1994,159432716.0,36887055.0,1307289.0,23.13644020214772,76.86355979785228
780,Colombia,1994,35758979.0,10557927.0,721860.0,29.525247351161788,70.4747526488382
2141,Indonesia,1994,193917462.0,126193422.0,450191.0,65.0758424220713,34.924157577928696
4551,Viet Nam,1994,73651218.0,57828504.0,180000.0,78.516697442804,21.483302557195998
266,Brazil,1995,162019896.0,36338396.0,930135.0,22.428354107818958,77.57164589218104
781,Colombia,1995,36421438.0,10567153.0,821820.0,29.013552402845814,70.98644759715418
2142,Indonesia,1995,196934260.0,125904272.0,457801.0,63.93213247913289,36.06786752086711
4552,Viet Nam,1995,74910461.0,58530406.0,218000.0,78.13382165676434,21.86617834323566
267,Brazil,1996,164614688.0,35782624.0,1369196.0,21.737200024338048,78.26279997566195
782,Colombia,1996,37076387.0,10569066.0,671401.0,28.50619182500172,71.49380817499828
2143,Indonesia,1996,199901228.0,125476273.0,421751.0,62.76913566533968,37.23086433466032
4553,Viet Nam,1996,76068743.0,59140514.0,320100.0,77.74614337981107,22.253856620188927
268,Brazil,1997,167209040.0,35104713.0,1228513.0,20.994506636722512,79.00549336327748
783,Colombia,1997,37723800.0,10564799.0,642239.0,28.00565955709658,71.99434044290342
2144,Indonesia,1997,202826446.0,124928173.0,426800.0,61.59363113821952,38.40636886178048
4554,Viet Nam,1997,77133214.0,59666524.0,420500.0,77.35516375604419,22.644836243955808
269,Brazil,1998,169785250.0,34406065.0,1689366.0,20.264460546484457,79.73553945351554
784,Colombia,1998,38364309.0,10554690.0,766980.0,27.511742750273438,72.48825724972656
2145,Indonesia,1998,205724592.0,124266879.0,512165.0,60.40448436033354,39.59551563966646
4555,Viet Nam,1998,78115710.0,60117397.0,409300.0,76.95941955849854,23.04058044150146
270,Brazil,1999,172318675.0,33695145.0,1631852.0,19.553971732895462,80.44602826710454
4556,Viet Nam,1999,79035871.0,60482574.0,553200.0,76.52547284510852,23.474527154891476
785,Colombia,1999,38999471.0,10540299.0,546720.0,27.026774286246084,72.97322571375392
2146,Indonesia,1999,208615169.0,123515902.0,524687.0,59.20753634171252,40.79246365828748
271,Brazil,2000,174790340.0,32968080.0,1903562.0,18.861500011957183,81.13849998804281
4557,Viet Nam,2000,79910412.0,60716972.0,802500.0,75.9813026617858,24.018697338214196
786,Colombia,2000,39629968.0,10522282.0,637140.0,26.551326006622062,73.44867399337794
2147,Indonesia,2000,211513823.0,122688942.0,554574.0,58.00516498630919,41.99483501369081
272,Brazil,2001,177196054.0,32789771.999999996,1819569.0,18.504798080887287,81.49520191911272
4558,Viet Nam,2001,80742499.0,60905689.0,840600.0,75.4320088606621,24.567991139337906
787,Colombia,2001,40255967.0,10501653.0,656160.0,26.087195967743114,73.91280403225689
2148,Indonesia,2001,214427417.0,122734809.0,569234.0,57.23839363321716,42.76160636678284
273,Brazil,2002,179537520.0,32643261.0,2610524.0,18.18186025962707,81.81813974037293
4559,Viet Nam,2002,81534407.0,61048895.0,699500.0,74.87500951592129,25.124990484078708
788,Colombia,2002,40875360.0,10477378.0,696840.0,25.632503297830283,74.36749670216972
2149,Indonesia,2002,217357793.0,122744187.0,682019.0,56.471031153688614,43.528968846311386
274,Brazil,2003,181809246.0,32477004.0,1987074.0,17.86323012417091,82.13676987582909
4560,Viet Nam,2003,82301656.0,61156846.0,793700.0,74.30815972888809,25.691840271111914
789,Colombia,2003,41483869.0,10449169.0,694080.0,25.188511225893613,74.81148877410638
2150,Indonesia,2003,220309469.0,122719089.0,663571.0,55.70304787943545,44.29695212056455
275,Brazil,2004,184006481.0,32290174.0,2465710.0,17.548389504824016,82.45161049517598
4561,Viet Nam,2004,83062821.0,61239621.0,913800.0,73.72687354309818,26.27312645690182
790,Colombia,2004,42075955.0,10416017.0,674400.0,24.75527174606019,75.24472825393981
2151,Indonesia,2004,223285676.0,122654979.0,647385.0,54.93186181813113,45.06813818186887
276,Brazil,2005,186127103.0,32085721.0,2140169.0,17.238607641145094,82.7613923588549
4562,Viet Nam,2005,83832661.0,61308288.0,831000.0,73.13174515598402,26.86825484401598
791,Colombia,2005,42647723.0,10378127.0,667140.0,24.334539501675152,75.66546049832485
2152,Indonesia,2005,226289470.0,122557076.0,640365.0,54.15942509388528,45.84057490611472
277,Brazil,2006,188167356.0,31861129.0,2573368.0,16.932336021132166,83.06766397886784
4563,Viet Nam,2006,84617540.0,61363160.0,985300.0,72.51825094418959,27.48174905581041
792,Colombia,2006,43200897.0,10335155.0,724740.0,23.923473163068813,76.07652683693118
2153,Indonesia,2006,229318262.0,122417389.0,682158.0,53.38318367335263,46.61681632664737
278,Brazil,2007,190130443.0,31618718.0,2249011.0,16.63001332195918,83.36998667804082
4564,Viet Nam,2007,85419591.0,61408016.0,1251000.0,71.88985018670951,28.11014981329049
793,Colombia,2007,43737516.0,10287615.0,757080.0,23.521260329461782,76.47873967053822
2154,Indonesia,2007,232374245.0,122237436.0,676475.0,52.60369366665398,47.39630633334602
279,Brazil,2008,192030362.0,31361744.0,2796927.0,16.33165905295747,83.66834094704254
4565,Viet Nam,2008,86243413.0,61451799.0,1055811.0,71.25390434165679,28.746095658343208
2155,Indonesia,2008,235469762.0,122011566.0,698016.0,51.81623532621569,48.18376467378431
794,Colombia,2008,44254975.0,10235594.0,688680.0,23.128685531965615,76.87131446803438
280,Brazil,2009,193886508.0,31097565.0,2440056.0,16.039055693344068,83.96094430665593
